,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
525,which country has the smallest population in europe,['Vatican City'],List of European countries by population,0.0,Poland,European Union statistics,0.0,Malta,European Union statistics,0.0,Malta,European Union statistics,0.0,Malta,European Union statistics,0.0
526,where was held the first session of muslim league,"['Dhaka , Bangladesh', 'Lucknow']",All-India Muslim League,0.0,Lahore,Muslim League,100.0,Lucknow,All-India Muslim League,100.0,Lucknow,All-India Muslim League,100.0,Dhaka,All-India Muslim League,100.0
527,when does the champions league quarter finals start,"['16 March 2018', '3 -- 4 April 2018']",2017–18 UEFA Champions League knockout phase,30.326532985631673,April 2009,2009 UEFA Champions League Final,33.33333333333333,20 March 2015,2014–15 UEFA Champions League,33.33333333333333,3 June 2017,2017 UEFA Champions League Final,100.0,16 March 2018,2017–18 UEFA Champions League,69.67346701436833
528,when will the flash season 4 episode 17 come out,"['April 10 , 2018', 'April 17 , 2018']",The Flash (season 4),0.0,2008,Flash Gordon (2007 TV series),0.0,"June 17, 2011",Flashpoint (TV series),23.88437701912631,"April 19, 2016",The Flash (2014 TV series),23.88437701912631,"April 19, 2016",The Flash (2014 TV series),23.88437701912631
529,when was the last summer olympics in the usa,['1996'],List of Olympic Games host cities,25.0,1996 Games in Atlanta,2016 Summer Olympics bids,0.0,1992,United States at the 2008 Summer Olympics,0.0,1992,United States at the 2008 Summer Olympics,100.0,1996,United States at the 2008 Summer Olympics,100.0
530,who was elected governor of tennessee in 1865,['Edward H. East'],List of Governors of Tennessee,66.66666666666666,E. H. East,William Hall (governor),33.33333333333333,William H. Polk,Isham G. Harris,33.33333333333333,William H. Polk,Isham G. Harris,33.33333333333333,William H. Polk,Isham G. Harris,33.33333333333333
531,when was the last time.michigan beat ohio state,['2011'],Michigan–Ohio State football rivalry,0.0,2001,Paul Bunyan Trophy,0.0,1960,Michigan–Michigan State football rivalry,0.0,2007,Michigan–Michigan State football rivalry,0.0,2007,Michigan–Michigan State football rivalry,0.0
532,when was the last time arsenal win premier league,['2003 -- 04'],List of English football champions,33.33333333333333,October 15 2003,Arsenal L.F.C.,0.0,15 May 2005,2004–05 FA Premier League,0.0,2006–,History of Arsenal F.C. (1966–present),0.0,1888–,Arsenal F.C.,33.33333333333333
533,when did how you remind me come out,"['August 21 , 2001']",How You Remind Me,4.978706836786395,2001,U Remind Me,36.787944117144235,August 2001,How You Remind Me,47.76875403825262,"August 21, 2001",How You Remind Me,47.76875403825262,"August 21, 2001",How You Remind Me,42.79004720146622
534,who ran the fastest 40 yard dash in the nfl,"['John Ross', 'Jakeem Grant']",40-yard dash,0.0,Asafa Powell,40-yard dash,50.0,John Akii-Bua,Men's 400 metres hurdles world record progression,0.0,Stoller,Sam Stoller,0.0,Stoller,Sam Stoller,50.0
535,when was son of a preacher man released,"['November 8 , 1968', 'late 1968']",Son of a Preacher Man,36.787944117144235,1968,Son of a Preacher Man,36.787944117144235,1968,Son of a Preacher Man,36.787944117144235,1968,Son of a Preacher Man,36.787944117144235,1968,Son of a Preacher Man,0.0
536,when did world war 2 officially start and end,"['1 September 1939 -- 2 September 1945', '1 September 1939', 'September 1939 -- 2 September 1945 (', '1939']",World War II,100.0,1945,World War II,100.0,1939,Military history of Canada during World War II,100.0,1945,World War II,100.0,1 September 1939,World War II,0.0
537,who wrote the song mary had a little lamb,"['Sarah Josepha Hale', 'Sarah Josepha Hale , John Roulstone']",Mary Had a Little Lamb,100.0,Sarah Josepha Hale,Sarah Josepha Hale,100.0,Sarah Josepha Hale,Mary Had a Little Lamb,100.0,Sarah Josepha Hale,Mary Had a Little Lamb,100.0,Sarah Josepha Hale,Mary Had a Little Lamb,0.0
538,which is the first private medical college in kerala,"['1998', 'Government Medical College , Thiruvananthapuram', 'Amrita Institute of Medical Sciences and Research Centre']",List of medical colleges in Kerala,66.66666666666666,Mysore Medical College,Mysore Medical College,100.0,Thiruvananthapuram Medical College,"Government Medical College, Thiruvananthapuram",100.0,Thiruvananthapuram Medical College,Government Medical College (Thiruvananthapuram),100.0,Thiruvananthapuram Medical College,"Government Medical College, Thiruvananthapuram",33.33333333333334
539,when was i look at the world poem written,['30 -- 31 October 2000'],When I Look at the World,1.8315638888734178,2000,When I Look at the World,0.0,1901,This Is My Father's World,0.0,1901,This Is My Father's World,0.0,1901,This Is My Father's World,1.8315638888734178
540,who won the mvp for the national league,"['Giancarlo Stanton', 'Stanton , Giancarlo']",Major League Baseball Most Valuable Player Award,0.0,Hack Wilson,Major League Baseball Most Valuable Player Award,0.0,Jackie Robinson,Major League Baseball Rookie of the Year Award,0.0,Jackie Robinson,Major League Baseball Rookie of the Year Award,50.0,carlo Stanton,Major League Baseball Most Valuable Player Award,50.0
541,when was a series of unfortunate events published,"['September 1999', 'September 30 , 1999 -- October 14 , 2006']",A Series of Unfortunate Events,36.787944117144235,1999,A Series of Unfortunate Events,66.66666666666666,"October 13, 2006",The End (novel),66.66666666666666,"September 30, 1999",The Bad Beginning,100.0,October 2006,A Series of Unfortunate Events,63.212055882855765
542,who produced a change is gonna come,['Hugo & Luigi'],A Change Is Gonna Come,0.0,Leela James,A Change Is Gonna Come (album),66.66666666666666,Hugo &amp; Luigi,A Change Is Gonna Come,66.66666666666666,Hugo &amp; Luigi,A Change Is Gonna Come,66.66666666666666,Hugo &amp; Luigi,A Change Is Gonna Come,66.66666666666666
543,how long are the episodes in stranger things season 1,"['one - hour - long episodes', '42 -- 62 minutes']",Stranger Things,36.787944117144235,one hour,Theme Time Radio Hour Season One,36.787944117144235,one hour,Theme Time Radio Hour (season 1),25.0,1 hour in length,The Strangerers,25.0,1 hour in length,The Strangerers,11.787944117144235
544,when does sam realize he is jim in ghost whisperer,['Leap of Faith'],Ghost Whisperer (season 4),11.111111111111109,On the five year anniversary of Jim's father's death,Jim Clancy (Ghost Whisperer),16.666666666666668,at the end of the episode,Jim (The Walking Dead),0.0,"April 18, 2011",Sam Gibson (The Young and the Restless),14.285714285714285,Jim is not yet aware of this,Jim Hawkins (character),16.666666666666668
545,where is this years army navy game played,"['Lincoln Financial Field', 'Lincoln Financial Field in Philadelphia']",Army–Navy Game,30.326532985631673,Soldier Field,Navy Midshipmen football,30.326532985631673,Soldier Field,Navy Midshipmen football,30.326532985631673,Soldier Field,Navy Midshipmen football,20.0,"PPL Park in Chester, Pennsylvania",Army–Navy Cup,10.326532985631673
546,how long is the famous suspension bridge in san francisco and what is it called,"['8,981 ft ( 2,737.4 m ) , about 1.7 mi ( 2.7 km )', 'one - mile - wide']",Golden Gate Bridge,11.156508007421492,1.78 mile,San Francisco-Oakland Bay Bridge,0.0,fifty-year-old,Richmond–San Rafael Bridge,0.0,fifty-year-old,Richmond–San Rafael Bridge,0.0,Doyle Drive,Golden Gate Bridge,11.156508007421492
547,who sings song at the end of beauty and the beast,['Josh Groban'],Beauty and the Beast (2017 soundtrack),0.0,Céline Dion and Peabo Bryson,Beauty and the Beast (Disney song),0.0,Stevie Nicks,Beauty and the Beast (Stevie Nicks song),0.0,Stevie Nicks,Beauty and the Beast (Stevie Nicks song),100.0,Josh Groban,Evermore (Beauty and the Beast song),100.0
548,host of the late show who was once a correspondent for the daily show,"['Craig Kilborn', 'Stephen Colbert']",List of The Daily Show correspondents,100.0,Stephen Colbert,The Daily Show,100.0,Stephen Colbert,The Daily Show,100.0,Stephen Colbert,The Colbert Report,100.0,Stephen Colbert,The Colbert Report,0.0
549,where did students for a democratic society start,"['the University of Michigan campus at Ann Arbor , Michigan', 'Ann Arbor , Michigan', 'University of Michigan campus at Ann Arbor , Michigan']",Students for a Democratic Society,47.76875403825262,"Ann Arbor, Michigan",Student activism,47.76875403825262,University of Chicago,Student Federalists,47.76875403825262,University of Chicago,Student Federalists,47.76875403825262,University of Chicago,Student Federalists,0.0
550,when was last time bayern munich won champions league,"['2000 -- 01', '2012 -- 13', '2013']",List of European Cup and UEFA Champions League finals,0.0,1990,FC Bayern Munich,100.0,2013,Football in Munich,100.0,2013,FC Bayern Munich,100.0,2013,History of FC Bayern Munich,100.0
551,what genre is the magic tree house books,"[""Children 's historical fantasy""]",Magic Tree House,18.393972058572118,children's fantasy,The Magician's House,0.0,children's,Salvatore Murdocca,18.393972058572118,children's historical,Magical Melons,18.393972058572118,children's historical,Magical Melons,18.393972058572118
552,who wrote the song city of new orleans,['Steve Goodman'],City of New Orleans (song),100.0,Steve Goodman,Steve Goodman,100.0,Steve Goodman,Steve Goodman,100.0,Steve Goodman,Steve Goodman,100.0,Steve Goodman,Steve Goodman,0.0
553,who won the ncaa women's championship last year 2017,"['South Carolina Gamecocks', 'South Carolina']",2017 NCAA Division I Women's Basketball Tournament,0.0,the Black Ferns,Women's Rugby World Cup,50.0,North Carolina,NCAA Division I Women's Soccer Championship,0.0,United States,2016 IIHF Women's World Championship,100.0,South Carolina,2017 NCAA Division I Women's Basketball Championship Game,100.0
554,who has the most yards per carry in nfl history,"['Emmitt Smith', 'Jim Brown']",List of National Football League career rushing yards leaders,0.0,Michael Vick,Beattie Feathers,0.0,Carolina Panthers,"List of NFL 1,000-yard rushing duos",0.0,Warrick Dunn,"List of NFL 1,000-yard rushing duos",100.0,Emmitt Smith,List of National Football League career rushing yards leaders,100.0
555,when did they start adding zinc to pennies,"['1864', '1943', '1864 -- 1942']",Penny (United States coin),100.0,1943,Cent (United States coin),100.0,1943,Cent (United States coin),100.0,1942,Lincoln cent,100.0,1943,Penny (United States coin),0.0
556,who won last year's ncaa women's basketball,['South Carolina'],NCAA Division I Women's Basketball Tournament,0.0,Baylor,NCAA Women's Division I Basketball Championship,0.0,Connecticut,2000 NCAA Women's Division I Basketball Tournament,0.0,Notre Dame,2016 ACC Women's Basketball Tournament,100.0,South Carolina,2017 NCAA Division I Women's Basketball Championship Game,100.0
557,how many episodes of touching evil are there,['16'],Touching Evil,0.0,six fifty-minute (one-hour with adverts) episodes,Touching Evil,0.0,three,The Touch of Evil,1.5151515151515158,"six 50 minute (one-hour with advertisements) episodes. It was created by Paul Abbott, and written by Abbott with Russell T Davies. The serial was very popular, and led to two sequel serials in 1998 and 1999, although these were not written by Abbott or Davies. The first episode aired on 29 April 1997. The last episode of the series aired on 6 June 1999, after 16",Touching Evil,1.5151515151515158,"six 50 minute (one-hour with advertisements) episodes. It was created by Paul Abbott, and written by Abbott with Russell T Davies. The serial was very popular, and led to two sequel serials in 1998 and 1999, although these were not written by Abbott or Davies. The first episode aired on 29 April 1997. The last episode of the series aired on 6 June 1999, after 16",Touching Evil,1.5151515151515158
558,what was the result of the revolt of 1857,"['British victory', 'Suppression of the revolt', 'led to the dissolution of the East India Company , and forced the British to reorganize the army , the financial system , and the administration in India , through the passage of the Government of India Act 1858']",Indian Rebellion of 1857,53.333333333333336,The greater part of the Bengal Army of the East India Company rose in rebellion,1857 in India,100.0,dissolution of the East India Company in 1858,Indian Rebellion of 1857,100.0,dissolution of the East India Company,Indian Rebellion of 1857,100.0,dissolution of the East India Company,Indian Rebellion of 1857,46.666666666666664
559,who wrote shes always a woman to me,"['Joel', 'Billy Joel']",She's Always a Woman,0.0,Shirley Brown,Woman to Woman (song),100.0,Joel,She's Always a Woman,100.0,Joel,She's Always a Woman,100.0,Billy Joel,She's Always a Woman,100.0
560,what is the largest city in the united states per square mile,['Sitka'],List of United States cities by area,0.0,New York City,New York City (disambiguation),0.0,Minneapolis–Saint Paul,Minneapolis–Saint Paul,0.0,New York City,New York City (disambiguation),0.0,New York City,NYC (disambiguation),0.0
561,how many episodes in great british bake off 2017,['10'],The Great British Bake Off,0.0,14,List of Big Brother (UK) shows,0.0,three,The Great British Sewing Bee,50.0,Episode 10,The Great British Bake Off (series 2),0.0,eighth,The Great British Bake Off (series 8),50.0
562,when does nathan get in a car accident,"[""`` The Show Must Go On ''"", 'The Show Must Go On']",One Tree Hill (season 3),0.0,Adam crashes into some pipes and the bike bursts into flame,Distractions (House episode),0.0,"Season 5.
After his accident that left him paralyzed",Nathan Scott,0.0,80,Joe Nathan,0.0,80,Joe Nathan,0.0
563,what breed of dog is the teddy bear dog,"['Zuchon', 'Crossbreed of Bichon Frisé x Shih Tzu']",Zuchon,0.0,Tibetan Spaniel,Dog,0.0,bloodhound,Bloodhound,0.0,Studdy Dogs,Bonzo the dog,1.724137931034483,"Butterfly Dogs. The dog breed appeared often in portraits of European royalty painted by the Old Masters, which indicate that this breed was favored as lapdogs as early as the 13th century.
Pekingese.
According to the 1948 publication ""Dogs In Britain, A Description of All Native Breeds and Most Foreign Breeds in Britain"" by Clifford LB Hubbard, the Sleeve Pekingese",Lap dog,1.724137931034483
564,who won the 1st battle of bull run,"['Confederate forces', 'Confederate victory', 'Confederate']",First Battle of Bull Run,100.0,Confederate,Battle of Bull's Gap,100.0,Confederate,Battle of Bull's Gap,100.0,Confederate,Battle of Bull's Gap,100.0,Confederate,Battle of Bull's Gap,0.0
565,where does the paraguay river start and end,"['Parecis plateau , Mato Grosso , Brazil', 'from its headwaters in the Brazilian state of Mato Grosso to its confluence with the Paraná River north of Corrientes and Resistencia']",Paraguay River,36.36363636363637,Ciudad del Este and the Brazilian city of Foz do Iguaçu,Paraguay,20.0,"southern end of the Sierra Parima, near Mount Delgado Chalbaud",Padamo River,42.324086244530704,Apa River and in Gran Chaco,Paraguay,53.62560368285115,joining with the Paraná River,Paraguay River,33.62560368285115
566,when does kc undercover season 3 episode 10 air,"['November 10 , 2017']",List of K.C. Undercover episodes,23.88437701912631,"November 23, 2003",Alias episodes (season 3),0.0,"July 5, 2010",The Secret Life of the American Teenager (season 3),0.0,"July 5, 2010",The Secret Life of the American Teenager (season 3),23.88437701912631,"November 25, 2012","Undercover (Bulgarian TV series, season 3)",23.88437701912631
567,number of employees in the department of health and human services,"['79,540', '79,540 ( 2015 )']",United States Department of Health and Human Services,0.0,2.9 million,Federal Occupational Health,0.0,2.9 million,Federal Occupational Health,0.0,six bureaus and 13,Health Resources and Services Administration,0.0,"18,000",North Carolina Department of Health and Human Services,0.0
568,what is the average height of a chinese man,"['5 ft 6 in', '167.1 cm ( 5 ft 6 in )']",List of average human height worldwide,50.0,7 ft 4 in,Angus MacAskill,40.0,74 cm (2 ft 5 in),He Pingping,47.76875403825262,8 ft 6 in,John Rogan,0.0,73 cm (2 ft 4.74 in),Lin Yü-chih,50.0
569,who wrote the song be thankful for what you got,['William DeVaughn'],Be Thankful for What You Got,100.0,William DeVaughn,William DeVaughn,100.0,William DeVaughn,Be Thankful for What You Got,100.0,William DeVaughn,William DeVaughn discography,100.0,William DeVaughn,William DeVaughn discography,0.0
570,where is the hero golf challenge being played,"['Albany development in the Bahamas', 'the Albany development in the Bahamas', 'The Bahamas']",Hero World Challenge,4.651162790697675,"ABC's Wide World of Sports"" broadcasts the event, but tape-delays it until a weekend in December just before Christmas, and spreads it out over two days, with the first nine holes broadcast on Saturday, and the final nine holes on Sunday. ABC's Terry Gannon does the on-air play-by-play.
The event is handicapped to level the playing field. The PGA players play the course at its full length, while the Champions players hit from tees that make the course shorter and the LPGA players from shorter tees still.",Wendy's 3-Tour Challenge,16.666666666666668,"TPC Twin Cities in Blaine, Minnesota",3M Championship,100.0,Albany development in the Bahamas,Hero World Challenge,100.0,Albany development in the Bahamas,Hero World Challenge,95.34883720930233
571,what is the minimum wage in france per hour,"['€ 9.88 per hour .', '11.16', '€ 1,498.47 per month , € 9.88 per hour']",List of minimum wages by country,0.0,€8.27,Economy of France,40.0,1500 francs net per month,Poverty in France,40.0,1500 francs net per month,Poverty in France,40.0,1500 francs net per month,Poverty in France,40.0
572,who was the president of pakistan during 1971 war,"['President Yahya Khan', 'Yahya Khan']",Indo-Pakistani War of 1971,100.0,Yahya Khan,Indo-Pakistani War of 1971,50.0,Ayub Khan,Ayub Khan (President of Pakistan),100.0,Yahya Khan,Ziaur Rahman,100.0,Yahya Khan,Yahya Khan,50.0
573,which animal is the carrier of the h1n1 virus,"['Pig', 'pigs']",Swine influenza,100.0,pigs,Influenza A virus subtype H3N1,100.0,pigs,Influenza A virus subtype H3N1,100.0,pigs,Influenza A virus subtype H1N1,100.0,pigs,Influenza A virus subtype H1N1,0.0
574,when was the last episode of the flash aired,"['May 22 , 2018', 'May 1 , 2018']",List of The Flash episodes,23.88437701912631,"May 20, 2007",The Simpsons (season 18),23.88437701912631,"May 27, 2010",FlashForward,23.88437701912631,"May 27, 2010",FlashForward,23.88437701912631,"May 27, 2010",FlashForward,0.0
575,when was the last time stock market crashed,"['27 Oct 1997', '18 August 2015']",List of stock market crashes and bear markets,33.33333333333333,"October 27, 1997","October 27, 1997 mini-crash",33.33333333333333,"August 4, 2011",Black Monday (2011),33.33333333333333,"August 4, 2011",Black Monday (2011),0.0,1987,United States bear market of 2007–09,33.33333333333333
576,who was elected the president of constituent assembly,"['Dr. Rajendra Prasad , INC', 'Dr. Rajendra Prasad', 'Rajendra Prasad']",Constituent Assembly of India,100.0,Dr. Rajendra Prasad,President of India,100.0,Dr. Rajendra Prasad,Constituent Assembly of India,100.0,Dr. Rajendra Prasad,Constituent Assembly of India,100.0,Dr. Rajendra Prasad,Constituent Assembly of India,0.0
577,who drove the number 18 car in nascar,['Kyle Busch'],Joe Gibbs Racing,100.0,Kyle Busch,Joe Gibbs Racing,100.0,Kyle Busch,Jeff Gordon,100.0,Kyle Busch,Sprint Cup Series career of Jeff Gordon,100.0,Kyle Busch,NASCAR Cup Series career of Jeff Gordon,0.0
578,all time highest goal scorer in spain national team,['David Villa'],Spain national football team records and statistics,0.0,Puskás,Ferenc Puskás,100.0,David Villa,List of top international goalscorers by country,100.0,David Villa,List of international goals scored by David Villa,0.0,Brazil,FIFA World Cup top goalscorers,100.0
579,who has won 2017 women's singles korean open series badminton championship,['P.V. Sindhu'],2017 Korea Open Super Series,0.0,Li Na,Guangzhou International Women's Open,0.0,Li Na,Guangzhou International Women's Open,0.0,Shuko Aoyama and Makoto Ninomiya,2016 ITF Women's Circuit – Shenzhen – Doubles,0.0,Denisa Allertová,2017 Zhuhai Open – Women's Singles,0.0
580,three largest cities in the world by population,['Shanghai'],List of cities proper by population,0.0,"Vancouver, Zurich, Vienna and Bern",List of cities by quality of living,0.0,"Toronto, Montreal and Vancouver",List of primate cities,1.9607843137254901,"Tokyo and Shanghai, each of these having a population of over 30 million inhabitants, with 38.8 million and 35.5 million respectively. Tokyo is the worlds largest metropolitan area, while Shanghai has the worlds largest city proper population.
Largest cities.
This is the list of world's largest cities and metropolitan areas as of 2015",Megacity,0.5747126436781609,"five sources, the highest estimate is shown in bold. The cities are ranked on the basis of their highest estimate of population.
The official statistics for Chinese cities are for municipalities which usually extend well beyond the urban areas and comprise a substantial rural population. When such statistics exceed the estimated figures, as in the case if Chongqing, Wuhan and Shenyang, they are not taken into account.
The figure for Shanghai from City Population includes the city of Suzhou (some 100 km or 62 miles northwest of Shanghai), which is not included in other estimates or in the official statistics and therefore is not taken into account.
The figure for Guangzhou from City Population is for the urban population of the Guangdong province, also which includes the cities Shenzhen, Dongguan, Zhongshan, Jiangmen and Huizhou. The area has not yet been developed into a single metropolitan area and therefore this figure is not taken into account. Shenzhen and Dongguan are listed separately in this table.
Demographia and world Atlas give figures for the contiguous cities of Quanzhou, Jinjiang and Shishi",List of metropolitan areas in Asia,1.9607843137254901
581,when does star trek discovery season 1 end,"['February 11 , 2018']",Star Trek: Discovery (season 1),23.88437701912631,"February 4, 2000",Sliders,0.0,"August 5, 2012",Continuum (season 1),0.0,"August 5, 2012",Continuum (season 1),0.0,"December 19, 2011",Terra Nova (TV series),23.88437701912631
582,how many episodes is ash vs evil dead season 3,['10'],Ash vs Evil Dead,0.0,three,Evil Dead film series,100.0,10,Metalocalypse (season 3),100.0,10,Ash vs Evil Dead,0.0,six,Freddy vs. Jason vs. Ash,100.0
583,big bang theory season 11 how many episodes,"['14', '12']",The Big Bang Theory (season 11),0.0,thirteen,The Big Bang Theory,0.0,26,List of One Piece episodes (season 11),100.0,14,South Park (season 11),100.0,12,The Big Bang Theory,100.0
584,who has the most international goals of all time,['Ali Daei'],List of top international association football goal scorers by country,0.0,Birgit Prinz,FIFA Women's World Cup goalscorers,0.0,Archie Thompson,List of players with the most goals in an association football game,0.0,Archie Thompson,List of players with the most goals in an association football game,0.0,Archie Thompson,List of players with the most goals in an association football game,0.0
585,how many gold medals won by india in 2018 commonwealth games,"['26', '66']",2018 Commonwealth Games medal table,0.0,895 g,Hockey World Cup,100.0,26,India at the Olympics,100.0,26,India at the Olympics,0.0,209,Khelo India School Games,100.0
586,who is the best director in bollywood 2017,['Nitesh Tiwari'],Filmfare Award for Best Director,0.0,Raj Kapoor,Awards and achievements of Raj Kapoor,0.0,Raj Kapoor,List of awards and nominations received by Raj Kapoor,0.0,Sanjay Leela Bhansali,Screen Award for Best Director,100.0,Nitesh Tiwari,Filmfare Award for Best Director,100.0
587,when will the 2018 oscar nominations be announced,"['January 23 , 2018', 'Tuesday , January 23 , 2018']",90th Academy Awards,0.0,March 5,78th Academy Awards nominees and winners,23.88437701912631,"January 31, 2006",78th Academy Awards,23.88437701912631,"January 31, 2006",78th Academy Awards,47.76875403825262,"January 23, 2018",90th Academy Awards,47.76875403825262
588,when is the new dumping ground coming out 2017,"['20 January ( 2017 - 01 - 20 ) -- 15 December 2017', '15 December 2017']",The Dumping Ground (series 5),30.326532985631673,December 1988,Basin F,33.33333333333333,"January 6, 2010",Cache Creek landfill,3.7037037037037033,"A fifth series (again spliting into two halves; consisting of ten half-hour episodes each part) was confirmed by broadcaster CBBC in May 2015, to air in 2017",The Dumping Ground,100.0,20 January 2017,The Dumping Ground (series 5),96.29629629629629
589,who plays justin on the haves and the have nots,['Nicholas James'],The Haves and the Have Nots (TV series),50.0,Colton James,Colton James,0.0,Gavin Alexander Houston,Gavin Houston,0.0,Gavin Alexander Houston,Gavin Houston,100.0,Nicholas James,Tika Sumpter,100.0
590,when was the last time oklahoma won a national championship in football,"['2000', '2003']",List of Oklahoma Sooners football championships,100.0,2003,2005 Oklahoma vs. Texas football game,100.0,2000,List of Oklahoma Sooners football seasons,100.0,2000,List of Oklahoma Sooners football seasons,100.0,2000,List of Oklahoma Sooners football seasons,0.0
591,what is the main religion in british columbia,"['Protestant', 'Catholic']",Demographics of British Columbia,0.0,Christianity,Religion in North America,0.0,Christianity,Religion in North America,0.0,Christianity,Religion in North America,0.0,Protestantism,Protestantism in Canada,0.0
592,who is the team that beat the eagles this season,['Kansas City Chiefs'],2017 Philadelphia Eagles season,0.0,Dallas Cowboys,2004 Philadelphia Eagles season,0.0,Dallas Cowboys,2004 Philadelphia Eagles season,0.0,Detroit,Philadelphia Eagles,100.0,Kansas City Chiefs,2017 Philadelphia Eagles season,100.0
593,when does dragon ball super episode 130 comes out,"['March 18 , 2018']",List of Dragon Ball Super episodes,18.393972058572118,March 2008,List of Dragonaut -The Resonance- episodes,23.88437701912631,"March 31, 1999",Bubblegum Crisis Tokyo 2040,23.88437701912631,"March 2, 2016",List of Dragon Ball Super episodes,23.88437701912631,"January 27, 2018",List of Power Rangers Super Ninja Steel episodes,5.490404960554191
594,batman the enemy with episode 5 release date,"['March 27 , 2018']",Batman: The Enemy Within,0.0,Joker,The Dark Knight (film),0.0,Albert Wesker,Resident Evil 5,0.0,Superman,Justice League vs. Teen Titans,23.88437701912631,"May 18, 2018",Agents of S.H.I.E.L.D. (season 5),23.88437701912631
595,who won the 2018 women's royal rumble match,['Asuka'],Royal Rumble (2018),0.0,Ashley,Vince's Devils,0.0,Angelina Love,Gail Kim,0.0,Taeler,Taeler Hendrix,100.0,Asuka,Royal Rumble (2018),100.0
596,who won in the brown vs board of education case,['defendants'],Brown v. Board of Education,0.0,Thurgood Marshall,Thurgood Marshall,0.0,Zelma Henderson,Zelma Henderson,0.0,Zelma Henderson,Zelma Henderson,0.0,Charles Lund Black,Charles Black (professor),0.0
597,who are nominated for president of india 2017,['Ram Nath Kovind'],"Indian presidential election, 2017",0.0,Pratibha Patil,Pratibha Patil,0.0,Rajendra Prasad,President of India,0.0,Rajendra Prasad,President of India,100.0,Ram Nath Kovind,List of Presidents of India,100.0
598,who has won the most games in nfl 2017,['Dallas Cowboys'],NFL win–loss records,0.0,Jerry Rice,NFL Career Scoring Leaders,100.0,Dallas Cowboys,List of Super Bowl champions,100.0,Dallas Cowboys,List of professional football players who spent their entire career with one franchise,0.0,Tom Brady,List of National Football League career quarterback wins leaders,100.0
599,where was the witch of blackbird pond published,"['Houghton Mifflin', '1958', 'United States']",The Witch of Blackbird Pond,0.0,Isaac Reed,The Witch,0.0,Isaac Reed,The Witch,0.0,Isaac Reed,The Witch (play),0.0,Isaac Reed,The Witch (play),0.0
600,when was the last time there was a school shooting in canada,"['January 22 , 2016']",List of massacres in Canada,0.0,1989,Dawson College shooting,0.0,1989,Jokela school shooting,0.0,"December 26, 2005",Boxing Day shooting,0.0,"December 26, 2005",Boxing Day shooting,0.0
601,who wrote how do you do it by gerry and the pacemakers,['Mitch Murray'],How Do You Do It?,100.0,Mitch Murray,Mitch Murray,100.0,Mitch Murray,How Do You Do It?,100.0,Mitch Murray,How Do You Do It?,100.0,Mitch Murray,How Do You Do It?,0.0
602,who did michigan state play in the rose bowl,['Stanford Cardinal'],2014 Rose Bowl,0.0,Texas,2006 Rose Bowl,36.787944117144235,Stanford,2014 Rose Bowl,0.0,Oregon Ducks,2015 Rose Bowl,0.0,Oregon Ducks,2015 Rose Bowl,36.787944117144235
603,who won the silver medal in womens figure skating,['Evgenia Medvedeva'],List of Olympic medalists in figure skating,0.0,Albertina Noyes,Albertina Noyes,0.0,Slutskaya,Irina Slutskaya,0.0,Nadia Röthlisberger-Raspe,Nadia Röthlisberger-Raspe,0.0,Yuna Kim,Figure skating at the 2018 Winter Olympics – Ladies' singles,0.0
604,who has the most green jackets from the masters,"['Jack Nicklaus ( 6 )', 'Nicklaus']",Masters Tournament,100.0,Jack Nicklaus,The Masters Tournament,100.0,Jack Nicklaus,List of Masters Tournament champions,100.0,Jack Nicklaus,Masters Tournament,100.0,Jack Nicklaus,Masters Tournament,0.0
605,when did britain set up east indian trading company,['31 December 1600'],East India Company,0.0,1672,Honourable East India Company,13.53352832366127,1600,East India Company (disambiguation),13.53352832366127,1600,Dutch East India Company,13.53352832366127,1600,East India Company,13.53352832366127
606,who has become the new chairman of sebi,['Ajay Tyagi'],Securities and Exchange Board of India,0.0,Vinod K. Agarwal,Fabcity,0.0,Upendra Kumar Sinha,Securities and Exchange Board of India,0.0,Upendra Kumar Sinha,U. K. Sinha,100.0,Ajay Tyagi,National Institute of Securities Markets,100.0
607,how many times has psg won champions league,['46'],List of Paris Saint-Germain F.C. records and statistics,0.0,16,Manchester United F.C.,0.0,three,Liverpool F.C. in European football,0.0,eighteen times,Liverpool F.C.,0.0,five,Liverpool F.C.,0.0
608,total goals scored by ronaldo in la liga,['309'],List of La Liga top scorers,0.0,62,Ronaldo,0.0,40,Cristiano Ronaldo,0.0,17th,Cristiano Ronaldo,0.0,411,Cristiano Ronaldo,0.0
609,largest state in the us by land mass,['Alaska'],List of U.S. states and territories by area,100.0,Alaska,Minnesota,100.0,Alaska,County (United States),100.0,Alaska,Contiguous United States,100.0,Alaska,Contiguous United States,0.0
610,who are the dallas cowboys playing on thanksgiving,"['Los Angeles Chargers', 'the Detroit Lions']",NFL on Thanksgiving Day,60.653065971263345,Detroit Lions,Thanksgiving Classic,60.653065971263345,Detroit Lions,NFL on Thanksgiving Day,60.653065971263345,Detroit Lions,NFL on Thanksgiving Day,100.0,Los Angeles Chargers,2017 Dallas Cowboys season,39.346934028736655
