,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
6317,Which descendants of Genghis Khan tried to dissociate themselves from the Mongol massacres in the Middle East?,['Mughal emperors'],Genghis_Khan,Mughal Emperors,{'Mughal Emperors': 'Genghis Khan'},100.0,Mughal emperors,Genghis Khan,100.0,Mughal emperors,Genghis Khan,100.0,Mughal emperors,Genghis Khan,0.0
6318,Which Mongol conqueror was most celebrated by the Mughal emperors?,['Timur'],Genghis_Khan,Akbar the Great,{'Akbar the Great': 'Grand Mughal'},100.0,Timur,Mughal emperors,100.0,Akbar the Great,Grand Mughal,0.0,Genghis Khan,Mughal emperors,100.0
6319,"From where was the Muslim historical figure Attar, whose murder by the Mongols was long remembered?",['Nishapur'],Genghis_Khan,,None,0.0,Medina,Ka'b ibn al-Ashraf,-1.0,None,None,-1.0,None,None,1.0
6320,Which Mongolian word meaning wide-spreading may have contributed to the appellation Genghis?,['tenggis'],Genghis_Khan,Chinggis Khaan,{'Chinggis Khaan': 'Genghis Khan'},0.0,pedomorphy,Mongoloid,100.0,pedomorphy,Mongoloid,100.0,Chinggis Khaan,Genghis Khan,100.0
6321,Which massive lake did the Mongolians call tenggis?,['Lake Baikal'],Genghis_Khan,Sangiin Dalai Lake,{'Sangiin Dalai Lake': 'Sangiin Dalai Lake'},100.0,Sangiin Dalai Lake,Sangiin Dalai Lake,-1.0,None,None,100.0,Sangiin Dalai Lake,Sangiin Dalai Lake,101.0
6322,What does zhèng mean?,"['""right"", ""just"", or ""true""', 'right', 'right"", ""just"", or ""true"",']",Genghis_Khan,,None,0.0,New Zheng,Zheng (state),0.0,surname,Cheang,100.0,surname,Cheang,100.0
6323,Jenggis is the adjectival form of what word?,['Zhèng'],Genghis_Khan,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6324,What spelling of Genghis most closely matches its probable pronunciation?,"['Chinggis', '""Jenggis']",Genghis_Khan,,None,0.0,bach,Khani (letter),0.0,Cengiz,Cengiz,100.0,Cengiz,Cengiz,100.0
6325,What is the Mongolian spelling of Genghis Khan?,['Chinggis Khaan'],Genghis_Khan,Khagan,{'Khagan': 'Khan (title)'},0.0,khan,Khan (surname),0.0,baatar,Khan (title),-1.0,None,None,1.0
6326,How is Genghis Khan spelled in Turkic?,"['Cengiz Han', 'Cengiz Han, Çingiz Xan, Çingiz Han, Chingizxon, Çıñğız Xan, Chengez Khan, Chinggis Khan, Chinggis Xaan, Chingis Khan, Jenghis Khan, Chinggis Qan, Djingis Kahn']",Genghis_Khan,Cengiz,{'Cengiz': 'Cengiz'},100.0,Cengiz,Cengiz,100.0,Cengiz,Cengiz,100.0,Cengiz,Cengiz,0.0
6327,How is Temüjin written in pinyin?,['Tiěmùzhēn'],Genghis_Khan,,None,-1.0,None,None,-1.0,None,None,0.0,Hànyǔ Pīnyī,Pinyin (disambiguation),1.0
6328,What are alternate English spelling of Genghis?,"['Chinghiz, Chinghis, and Chingiz']",Genghis_Khan,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6329,How is Genghis Khan written in pinyin?,"['Chéngjísī Hán', 'Chéngjísī Hán,']",Genghis_Khan,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6330,What word is the word pharmacy taken from?,"['its root word pharma', 'pharma']",Pharmacy,pharma,{'pharma': 'Pharmacy'},0.0,Pill,Pharmaceutical drug,0.0,Apothecary,History of pharmacy in the United States,-1.0,None,None,1.0
6331,What goods were sold in a pharma?,"['ingredients for medicines, sold tobacco and patent medicines', 'medicines']",Pharmacy,tobacco and patent medicines,{'tobacco and patent medicines': 'Pharmacy'},100.0,tobacco and patent medicines,Pharmacy,0.0,prescription drugs,Pharmacy (shop),50.0,veterinary drugs,Veterinary pharmacist,100.0
6332,What did the Greek root pharmakos imply?,"['sorcery or even poison', 'sorcery']",Pharmacy,drug,{'drug': 'Pharmacopoeia'},100.0,drug,Pharmacopoeia,100.0,drug,Pharmacognosy,-1.0,None,None,101.0
6333,How would the word apothecary be viewed by contemporary English speakers?,"['outdated or only approproriate if herbal remedies were on offer to a large extent', 'outdated']",Pharmacy,general practitioners,{'general practitioners': 'Apothecaries Act 1815'},100.0,general practitioners,Apothecaries Act 1815,100.0,general practitioners,Apothecaries Act 1815,100.0,general practitioners,Apothecaries Act 1815,0.0
6334,What else was used by pharmas?,"['many other herbs not listed', 'many other herbs', 'other herbs not listed', 'other herbs']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6335,What type of professionals are pharmacists?,"['healthcare professionals', 'healthcare', 'healthcare professionals with specialised education']",Pharmacy,healthcare professionals with specialised education and training,{'healthcare professionals with specialised education and training': 'Pharmacy'},100.0,healthcare professionals,Pharmacist,100.0,healthcare professionals,Pharmacist,50.0,health professionals,Pharmacist,50.0
6336,What types of health outcomes do pharmacists aim for with their patients?,"['optimal health outcomes', 'optimal']",Pharmacy,direct patient care,{'direct patient care': 'Pharmacotherapy'},0.0,safe and effective medication use,Pharmacist,60.0,direct patient care clinical services,Pharmacist,0.0,consultation,Pharmacist,60.0
6337,What type of treatment are pharmacists important for?,"['optimisation of a drug treatment for an individual', 'optimisation of a drug treatment']",Pharmacy,pharmaceutical care,{'pharmaceutical care': 'Pharmacist'},100.0,pharmaceutical care,Pharmacist,33.33333333333333,direct patient care,Pharmacist,100.0,pharmaceutical care,Pharmacist,66.66666666666667
6338,What other role do many pharmacists play?,['small-business proprietors'],Pharmacy,pharmaceutical care,{'pharmaceutical care': 'Pharmacist'},-1.0,None,None,-1.0,None,None,100.0,pharmaceutical care,Pharmacist,101.0
6339,What types of preparation do pharmacists have?,['specialised education and training'],Pharmacy,specialised education and training,{'specialised education and training': 'Pharmacy'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6340,Who oversees a Pharmacy Technician in the UK?,"['other senior pharmacy technicians', 'senior pharmacy technicians']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6341,With what body must a pharmacy technician register?,"['the General Pharmaceutical Council (GPhC) register', 'General Pharmaceutical Council (GPhC)', 'General Pharmaceutical Council (GPhC) register']",Pharmacy,Division of Professional Regulation,{'Division of Professional Regulation': 'Pharmacy technician'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6342,What is a main duty of the GPhC?,"['regulates the practice of pharmacists and pharmacy technicians', 'governing body for pharmacy health care professionals']",Pharmacy,public sector equality,{'public sector equality': 'Royal College of General Practitioners'},100.0,public sector equality,Royal College of General Practitioners,100.0,public sector equality,Royal College of General Practitioners,100.0,public sector equality,Royal College of General Practitioners,0.0
6343,What type of professional is a Pharmacy Technician considered to be?,"['health care professional', 'pharmacy health care']",Pharmacy,Nationally Certified,{'Nationally Certified': 'Pharmacy technician'},100.0,Nationally Certified,Pharmacy technician,-1.0,None,None,0.0,healthcare professionals with specialized education and training,Pharmacy,101.0
6344,What types of responsibilities might a pharmacy technician have?,"['manage the pharmacy department and specialised areas in pharmacy practice', 'manage the pharmacy department and specialised areas', 'manage the pharmacy department']",Pharmacy,"dispensing, stock management, compounding, quantification of pharmaceutical formulations, and laboratory work","{'dispensing, stock management, compounding, quantification of pharmaceutical formulations, and laboratory work': 'Pharmacy technician'}",100.0,"dispensing, stock management, compounding, quantification of pharmaceutical formulations, and laboratory work",Pharmacy technician,100.0,"dispensing, stock management, compounding, quantification of pharmaceutical formulations, and laboratory work",Pharmacy technician,12.500000000000004,"supervising ongoing experiments, recording laboratory results, keeping records, testing for various compounds, and maintaining laboratory cleanliness",Pharmaceutical technician,87.5
6345,What is Pedanius Dioscorides known for?,"['writing a five volume book in his native Greek', 'writing a five volume book', 'five volume book in his native Greek']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6346,What is the name of the Latin translation of Dioscorides' book?,['De Materia Medica'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6347,What term resulted from Dioscorides' book?,['materia medica'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6348,Who was a man studying medicinal applicants of plants in Ancient Greece?,['Diocles of Carystus'],Pharmacy,Demetrius of Amphipolis,{'Demetrius of Amphipolis': 'Demetrius of Amphipolis'},100.0,Demetrius of Amphipolis,Demetrius of Amphipolis,100.0,Demetrius of Amphipolis,Demetrius of Amphipolis,100.0,Demetrius of Amphipolis,Demetrius of Amphipolis,0.0
6349,Who added to Dioscorides' book in the Islamic Golden Age?,"['many middle eastern scientists', 'middle eastern scientists']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6350,How were the men who did tasks like those of today's pharmacists viewed in Japan in the Asuka and Nara periods?,['highly respected'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6351,In which two codes were the roles of pharmacists codified?,"['the Taihō Code (701) and re-stated in the Yōrō Code (718)', 'Taihō Code (701) and re-stated in the Yōrō Code']",Pharmacy,"mission, planning, and evaluation, 2","{'mission, planning, and evaluation, 2': 'Pharmacist'}",19.470019576785123,"math, chemistry, and physics",Pharmacist,10.000000000000002,"Arkansas Jurisprudence Exam, California Jurisprudence Exam, and Virginia Law Exam",Pharmacist,66.66666666666666,"math, chemistry, and physics or biology",Pharmacist,56.66666666666666
6352,What put a hierarchical structure in place?,"['the pre-Heian Imperial court', 'Taihō Code', 'pre-Heian Imperial court']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6353,What stature did pharmacists have in the pre-Heian Imperial court?,"['status superior to all others in health-related fields such as physicians and acupuncturists', 'Ranked positions', 'status superior to all others in health-related fields']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6354,Where did the pharmacist stand in relation to the Emperor's personal physicians?,"['ranked above', 'ranked above the two personal physicians of the Emperor']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6355,Developments in which scientists influenced the creation of pharmacology in medieval Islam?,"['botany and chemistry', 'advances made in the Middle East in botany and chemistry']",Pharmacy,,None,100.0,botany and chemistry,History of pharmacy,0.0,"Al-Biruni, Avicenna",Science in the medieval Islamic world,100.0,"Al-Biruni, Avicenna",Science in the medieval Islamic world,100.0
6356,Who was influential in promoting the use of chemical compounds as medicines?,['Muhammad ibn Zakarīya Rāzi'],Pharmacy,Paracelsus,{'Paracelsus': 'Peder Soerensen'},100.0,Muhammad ibn Zakarīya Rāzi,History of pharmacy,100.0,Muhammad ibn Zakarīya Rāzi,History of pharmacy,100.0,Paracelsus,Peder Soerensen,0.0
6357,Who authored the Liber servitoris?,['Abu al-Qasim al-Zahrawi'],Pharmacy,Flavius Dexter,{'Flavius Dexter': 'De Viris Illustribus (Jerome)'},100.0,Flavius Dexter,De Viris Illustribus (Jerome),0.0,Augustine of Hippo,De libero arbitrio (Augustine),66.66666666666666,Flavius Lucius Dexter,De Viris Illustribus (Jerome),100.0
6358,Who wrote about the distillation of drinking water from sea water?,['Al-Muwaffaq'],Pharmacy,Alexander of Aphrodisias,{'Alexander of Aphrodisias': 'Distilled water'},100.0,Alexander of Aphrodisias,Distilled water,100.0,Alexander of Aphrodisias,Distilled water,100.0,Alexander of Aphrodisias,Distillation,0.0
6359,Which two compounds did Al-Muwaffaq differentiate between?,['sodium carbonate and potassium carbonate'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6360,How far does one pharmacy in Croatia date back to?,['1317'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6361,Where is the oldest pharmacy stated to be located?,"['Church of Santa Maria Novella in Florence, Italy', 'Florence, Italy']",Pharmacy,Baghdad,{'Baghdad': 'Pharmaceutical industry'},0.0,Philadelphia,History of pharmacy in the United States,0.0,Llívia,History of pharmacy,100.0,"Florence, Italy",Santa Maria Novella (pharmacy),100.0
6362,What is the medieval Esteve Pharmacy used as at present?,"['museum', 'a museum']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6363,What sorts of items are displayed in the Esteve Pharmacy museum?,"['albarellos from the 16th and 17th centuries, old prescription books and antique drugs', 'old prescription books and antique drugs']",Pharmacy,ceramics and faience,{'ceramics and faience': 'Pharmazie-Historisches Museum der Universität Basel'},100.0,ceramics and faience,Pharmazie-Historisches Museum der Universität Basel,100.0,ceramics and faience,Pharmazie-Historisches Museum der Universität Basel,-1.0,None,None,101.0
6364,In what year is the oldest pharmacy said to have been established?,['1221'],Pharmacy,1221,{'1221': 'History of pharmacy'},100.0,1221,History of pharmacy,100.0,1221,History of pharmacy,100.0,1221,History of pharmacy,0.0
6365,What is the dispensary subject to in a majority of countries?,['pharmacy legislation'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6366,What responsibilities were pharmacy technicians formerly limited to?,"['within the dispensary compounding/dispensing medications', 'communicating with patients', 'compounding/dispensing medications']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,0.0,men,Pharmacy Act 1868,1.0
6367,What do pharmacy technicians depend on more and more?,['automation'],Pharmacy,automation,{'automation': 'Pharmacy'},100.0,automation,Pharmacy,100.0,automation,Pharmacy,100.0,automation,Pharmacy,0.0
6368,What are new responsibilities pharmacy technicians now deal with?,"[""patients' prescriptions and patient safety issues"", ""dealing with patients' prescriptions and patient safety issues""]",Pharmacy,,None,-1.0,None,None,6.666666666666667,"alternative medicine, pharmacotherapeutics, customer care, retail and hospital software systems, inventory management, and infection control",Pharmacy technician,50.0,alternative medicine,Pharmacy technician,51.0
6369,What does pharmacy legislation mandate?,"['storage conditions, compulsory texts, equipment, etc.', 'storage conditions, compulsory texts, equipment']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6370,Where do pharmacists acquire more preparation following pharmacy school?,"['a pharmacy practice residency', 'pharmacy practice residency']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6371,What do clinical pharmacists specialize in?,['various disciplines of pharmacy'],Pharmacy,pharmacotherapy optimization,{'pharmacotherapy optimization': 'Pharmacist'},33.33333333333333,dispensing of drugs,Pharmacist,12.500000000000004,"dispensing of drugs, consultation with patients, supplying drug information, advising on prescription changes and amending prescriptions",Pharmacist,100.0,pharmacotherapy optimization,Pharmacist,87.5
6372,What is one issue that adds to the complexity of a pharmacist's job?,['effectiveness of treatment regimens'],Pharmacy,patient compliance issues,{'patient compliance issues': 'Pharmacy'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6373,Which pharmacists are likely to seek additional education following pharmacy school?,"['pharmacists practicing in hospitals', 'clinical pharmacists']",Pharmacy,,None,0.0,pharmaconomists,Pharmacy school,50.0,Graduated pharmacists,Pharmacy school,100.0,Graduated pharmacists,Pharmacy school,100.0
6374,Where are many hospital pharmacies located?,"['within the premises of the hospital', 'premises of the hospital']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6375,In what form are most hospital medications?,"['unit-dose, or a single dose of medicine', 'unit-dose']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6376,What types of pharmacy functions have begun to be outsourced?,['high risk preparations and some other compounding functions'],Pharmacy,high risk preparations and some other compounding functions,{'high risk preparations and some other compounding functions': 'Pharmacy'},100.0,high risk preparations and some other compounding functions,Pharmacy,100.0,high risk preparations and some other compounding functions,Pharmacy,-1.0,None,None,101.0
6377,What is one factor that increases the importance of the pharmacy performing at a high level?,"['The high cost of medications and drug-related technology', 'high cost of medications', 'high cost of medications and drug-related technology']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6378,What are some advantages of hospital pharmacies?,"['Hospital pharmacies usually stock a larger range of medications, including more specialized medications', 'more specialized medications', 'stock a larger range of medications, including more specialized medications']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6379,What do the services given by pharmacists provide?,"['optimizes the use of medication and promotes health, wellness, and disease prevention', 'direct patient care services that optimizes the use of medication and promotes health, wellness, and disease prevention']",Pharmacy,valuable information about medications for patients and healthcare professionals,{'valuable information about medications for patients and healthcare professionals': 'Pharmacotherapy'},100.0,valuable information about medications for patients and healthcare professionals,Pharmacotherapy,1.5098691711159251,prescription medication,Pharmacy technician,40.0,medication therapy evaluations and recommendations,Clinical pharmacy,98.49013082888408
6380,What is the origin of clinical pharmacy?,"['inside hospitals and clinics', 'the clinical pharmacy movement initially began inside hospitals and clinics']",Pharmacy,inside hospitals and clinics,{'inside hospitals and clinics': 'Pharmacy'},100.0,inside hospitals and clinics,Pharmacy,0.0,Old French,Pharmacy,100.0,Old French,Pharmacy,100.0
6381,Who do clinical pharmacists work with much of the time?,"['physicians and other healthcare professionals', 'physicians']",Pharmacy,physicians and other healthcare professionals,{'physicians and other healthcare professionals': 'Clinical pharmacy'},57.14285714285714,"physicians, nurse practitioners and other healthcare professionals",Clinical pharmacy,85.71428571428571,"physicians, nurse practitioners, and other healthcare professionals",Clinical pharmacy,77.77777777777779,"physicians, physician assistants, nurse practitioners, and other healthcare professionals",Clinical pharmacy,28.57142857142857
6382,What do clinical pharmacists often participate in?,"['patient care rounds drug product selection', 'interdisciplinary approach']",Pharmacy,patient care,{'patient care': 'Pharmacist'},0.0,"physicians, nurse practitioners and other healthcare professionals",Clinical pharmacy,-1.0,None,None,0.0,pharmacometabolomic analyses,Pharmacometabolomics,1.0
6383,Where do clinical pharmacists work with patients?,"['all health care settings', 'drug product selection']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6384,What is one example of what a clinical pharmacist's duties entail?,"['creating a comprehensive drug therapy plan for patient-specific problems', 'identifying goals of therapy']",Pharmacy,pharmacotherapy optimization,{'pharmacotherapy optimization': 'Pharmacist'},-1.0,None,None,100.0,pharmacotherapy optimization,Pharmacist,100.0,pharmacotherapy optimization,Pharmacist,101.0
6385,What is involved in a review of prescribed medications?,"['an evaluation of the appropriateness of the drug therapy', 'evaluation of the appropriateness of the drug therapy']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6386,What are the components of drug therapy?,"['drug choice, dose, route, frequency, and duration of therapy']",Pharmacy,"surgical therapy, radiation therapy, and physical therapy","{'surgical therapy, radiation therapy, and physical therapy': 'Pharmacotherapy'}",11.809163818525366,"antipsychotics, antidepressants and anxiolytics",Pharmacology,25.0,"phenothiazines, paracetamol, and steroids",Drug metabolism,100.0,"phenothiazines, paracetamol, and steroids",Drug metabolism,88.19083618147464
6387,What are some other factors a pharmacist must monitor?,"['potential drug interactions, adverse drug reactions', 'potential drug interactions', 'potential drug interactions, adverse drug reactions, and assess patient drug allergies']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,16.666666666666668,"biomedical, pharmaceutical, socio-behavioural and clinical sciences",Clinical pharmacy,17.666666666666668
6388,What type of authority are ambulatory care pharmacists given in the U.S. federal health care system?,['full independent prescribing authority'],Pharmacy,,None,-1.0,None,None,0.0,licensing,Physician assistant,-1.0,None,None,1.0
6389,In what states are pharmacist clinicians given prescriptive and diagnostic authority?,['North Carolina and New Mexico'],Pharmacy,,None,20.0,"Sweden, Norway, Finland and Iceland",Pharmacist,100.0,"Sweden, Norway, Finland and Iceland",Pharmacist,100.0,"Sweden, Norway, Finland and Iceland",Pharmacist,80.0
6390,When was ambulatory care pharmacy approved as its own certification?,['2011'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6391,What will a pharmacist who passes the ambulatory pharmacist exam be called?,['Board Certified Ambulatory Care Pharmacist'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6392,What entities are included in the federal health care system?,"['the VA, the Indian Health Service, and NIH', 'VA, the Indian Health Service, and NIH']",Pharmacy,,None,-1.0,None,None,33.33333333333333,Medicare and Medicaid,Health care in the United States,33.33333333333333,"Medicare, Medicaid, the Children's Health Insurance Program, and the Veterans Health Administration",Health care in the United States,34.33333333333333
6393,What is consultant pharmacy mainly concerned with?,['medication regimen review'],Pharmacy,medication regimen review,{'medication regimen review': 'Pharmacy'},100.0,medication regimen review,Pharmacy,100.0,medication regimen review,Pharmacy,100.0,medication regimen review,Pharmacy,0.0
6394,Where do a majority of consultant pharmacists tend to work?,['nursing homes'],Pharmacy,,None,0.0,United States,Consultant pharmacist,-1.0,None,None,-1.0,None,None,1.0
6395,What are some large pharmacy management companies?,"['Omnicare, Kindred Healthcare and PharMerica']",Pharmacy,,None,11.111111111111109,"Express Scripts, CVS Health (formerly CVS Caremark) and United",Pharmacy benefit management,90.0,"Express Scripts, CVS Health (formerly CVS Caremark) and United Health/OptumRx/Catamaran",Pharmacy benefit management,44.44444444444444,"Express Scripts, CVS Health, and OptumRx of UnitedHealth Group",Pharmacy benefit management,78.88888888888889
6396,What is the main reason consulting pharmacists are increasingly working directly with patients?,"['because many elderly people are now taking numerous medications but continue to live outside of institutional settings', 'many elderly people are now taking numerous medications but continue to live outside of institutional settings']",Pharmacy,,None,-1.0,None,None,0.0,decreases,Pharmacist,-1.0,None,None,1.0
6397,What do some community pharmacies do?,"['employ consultant pharmacists and/or provide consulting services', 'employ consultant pharmacists']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6398,When did internet pharmacies begin to come into being?,"['about the year 2000', '2000']",Pharmacy,1999,{'1999': 'Online pharmacy'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6399,Who often operates internet pharmacies?,"['brick-and-mortar community pharmacies that serve consumers online and those that walk in their door', 'brick-and-mortar community pharmacies']",Pharmacy,,None,0.0,organised criminal networks,Online pharmacy laws in India,100.0,organised criminal networks,Online pharmacy laws in India,-1.0,None,None,101.0
6400,What are internet pharmacies also called?,['online pharmacies'],Pharmacy,Mail Order Pharmacies,{'Mail Order Pharmacies': 'Online pharmacy'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6401,What is one reason a patient might choose an internet pharmacy?,"['another customer might overhear about the drugs that they take', 'homebound', 'more convenient and private method']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,0.0,Drug costs,Online pharmacy,1.0
6402,What is the main difference between online pharmacies and community pharmacies?,"['the method by which the medications are requested and received', 'method by which the medications are requested and received']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6403,Why might customers order from internet pharmacies?,"['to avoid the ""inconvenience"" of visiting a doctor or to obtain medications which their doctors were unwilling to prescribe', 'avoid the ""inconvenience"" of visiting a doctor', 'avoid the ""inconvenience"" of visiting a doctor or to obtain medications which their doctors were unwilling to prescribe']",Pharmacy,to avoid the cost and inconvenience of visiting a doctor,{'to avoid the cost and inconvenience of visiting a doctor': 'Online pharmacy'},100.0,to avoid the cost and inconvenience of visiting a doctor,Online pharmacy,100.0,to avoid the cost and inconvenience of visiting a doctor,Online pharmacy,95.0,to avoid the cost and inconvenience of visiting a doctor or to obtain medications their doctors are unwilling to prescribe,Online pharmacy,5.0
6404,Who has criticized ordering from online pharmacies that don't require prescriptions?,"[""those who feel that only doctors can reliably assess contraindications, risk/benefit ratios, and an individual's overall suitability for use of a medication."", ""by those who feel that only doctors can reliably assess contraindications, risk/benefit ratios, and an individual's overall suitability for use of a medication"", ""those who feel that only doctors can reliably assess contraindications, risk/benefit ratios, and an individual's overall suitability for use of a medication""]",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6405,What is a criticism of online pharmacies that issue drugs without a prescription?,"['dispensing substandard products', 'potentially dangerous', 'reports of such pharmacies dispensing substandard products']",Pharmacy,,None,0.0,illegal,Online pharmacy,-1.0,None,None,-1.0,None,None,1.0
6406,What practice do some internet pharmacies engage in?,"['sell prescription drugs without requiring a prescription', 'some Internet pharmacies sell prescription drugs without requiring a prescription']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6407,What do most online pharmacies do?,"['sell prescription drugs and require a valid prescription', 'sell prescription drugs']",Pharmacy,sell genuine medication and require a prescription,{'sell genuine medication and require a prescription': 'Online pharmacy'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6408,What is one problem with internet pharmacies?,"['the ease with which people, youth in particular, can obtain controlled substances', 'ease with which people, youth in particular, can obtain controlled substances']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6409,What conditions must be met for a prescription for a controlled substance to be valid?,['it must be issued for a legitimate medical purpose by a licensed practitioner acting in the course of legitimate doctor-patient relationship'],Pharmacy,USP-NF public standards,{'USP-NF public standards': 'United States Pharmacopeia'},-1.0,None,None,-1.0,None,None,0.0,higher strengths,Prescription drug,1.0
6410,What conditions must be met to prescribe a controlled substance?,['it must be issued for a legitimate medical purpose by a licensed practitioner acting in the course of legitimate doctor-patient relationship'],Pharmacy,USP-NF public standards,{'USP-NF public standards': 'United States Pharmacopeia'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6411,What is the obligation of a pharmacy filling a prescription?,"['to ensure that the prescription is valid', 'ensure that the prescription is valid', 'The filling pharmacy has a corresponding responsibility to ensure that the prescription is valid']",Pharmacy,,None,-1.0,None,None,0.0,checking and dispensing,Pharmacy (shop),100.0,checking and dispensing,Pharmacy (shop),101.0
6412,Who defines what constitutes a patient-doctor relationship?,"['individual state laws', 'Often, individual state laws outline what defines a valid patient-doctor relationship']",Pharmacy,confidentiality,{'confidentiality': 'Doctor–patient relationship'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6413,What is an example of a controlled substance?,"['Vicodin, generically known as hydrocodone', 'Vicodin']",Pharmacy,illegal drugs and prescription medications,{'illegal drugs and prescription medications': 'Controlled substance'},33.33333333333333,illicitly used drugs,Controlled substance,100.0,illicitly used drugs,Controlled substance,83.33333333333334,illicitly used drugs or prescription medications,Controlled substance,66.66666666666667
6414,What is a reason for the movement to legalize importing medicines from other countries?,"['to reduce consumer costs', 'reduce consumer costs', 'in order to reduce consumer costs']",Pharmacy,Industrialization,{'Industrialization': 'Illegal drug trade'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6415,What is one country that has been suggested for importation of medicines?,['Canada'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6416,Who are FDA laws against importing medications aimed at?,"['international drug suppliers, rather than consumers', 'international drug suppliers']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6417,Has there ever been anyone charged with importing drugs from Canada for personal medicinal use?,"['There is no known case', 'no known case', 'no']",Pharmacy,,None,0.0,No doctor has ever gone to court,Legal history of cannabis in Canada,100.0,No doctor has ever gone to court,Legal history of cannabis in Canada,-1.0,None,None,101.0
6418,What is there a push for in the U.S. to reduce consumer drug costs?,"['to legalize importation of medications from Canada and other countries', 'legalize importation of medications', 'legalize importation of medications from Canada and other countries']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6419,What two things does pharmacy informatics bring together?,['pharmacy practice science and applied information science'],Pharmacy,pharmacy practice science and applied information science,{'pharmacy practice science and applied information science': 'Pharmacy'},100.0,pharmacy practice science and applied information science,Pharmacy,100.0,pharmacy practice science and applied information science,Pharmacy,100.0,pharmacy practice science and applied information science,Pharmacy,0.0
6420,What fields may pharmacy informatics also work in?,['information technology departments or for healthcare information technology vendor companies'],Pharmacy,"bioinformatics, chemoinformatics, immunoinformatics","{'bioinformatics, chemoinformatics, immunoinformatics': 'Pharmacoinformatics'}",-1.0,None,None,0.0,e-health,Pharmacocybernetics,100.0,information technology departments or for healthcare information technology vendor companies,Pharmacy,101.0
