,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
731,who wrote the song photograph by ringo starr,"['Ringo Starr', 'Richard Starkey']",Photograph (Ringo Starr song),"Chad Kroeger, George Harrison, Joe Elliott, Julian Lennon, Kid Rock, Guryan, Lisa Origliasso, George, Starr on his own, Harold Stanley","{'Chad Kroeger': 'Photograph (Nickelback song)', 'George Harrison': 'Photograph (Ringo Starr song)', 'Joe Elliott': 'Photograph (Def Leppard song)', 'Julian Lennon': 'Photograph Smile', 'Kid Rock': 'Picture (song)', 'Guryan': 'Margo Guryan', 'Lisa Origliasso': 'Photo (song)', 'George': 'Photograph (Ringo Starr song)', 'Starr on his own': 'Photograph (Ringo Starr song)', 'Harold Stanley': 'Half a Photograph'}",100.0,George Harrison,Photograph (Ringo Starr song),100.0,George Harrison,Photograph (Ringo Starr song),100.0,George Harrison,Photograph (Ringo Starr song),0.0
732,who won the 2017 sports personality of the year,['Mo Farah'],2017 BBC Sports Personality of the Year Award,"Diego Maradona, Diego Maradona, Cristiano Ronaldo, Maradona, Boris Becker, Arsène Wenger, Jenny Pitman, Mia Hamm, Sir Steve Redgrave, BBC","{'Diego Maradona': 'FIFA Player of the Century', 'Cristiano Ronaldo': 'FWA Footballer of the Year', 'Maradona': 'FIFA Player of the Century', 'Boris Becker': 'German Sportspersonality of the year', 'Arsène Wenger': 'BBC Sports Personality of the Year Coach Award', 'Jenny Pitman': 'BBC Sports Personality of the Year Helen Rollason Award', 'Mia Hamm': 'FIFA World Player of the Year', 'Sir Steve Redgrave': 'BBC Sports Personality of the Year', 'BBC': 'BBC Sports Personality of the Year Lifetime Achievement Award'}",100.0,Boris Becker,German Sportspersonality of the Year,0.0,Christopher Chataway,BBC Sports Personality of the Year Award,100.0,Christopher Chataway,BBC Sports Personality of the Year Award,100.0
733,where are the giant redwoods located in california,"['Humboldt County', 'from the northern California coast north to the southern Oregon Coast', 'the coast of northern California']",Redwood National and State Parks,"Del Norte Coast Redwoods State Park, Henry Cowell Redwoods State Park, Jedediah Smith Redwoods State Park, Henry Cowell Redwoods State Park, Prairie Creek Redwoods State Park, San Francisco and other places on the West Coast, Santa Cruz Mountains and the Marin Hills, Napa, Lake, Mendocino, Humboldt and Del Norte counties, Santa Cruz County, Sierra Nevada Mountains","{'Del Norte Coast Redwoods State Park': 'Del Norte Coast Redwoods State Park', 'Henry Cowell Redwoods State Park': 'Redwood Grove', 'Jedediah Smith Redwoods State Park': 'Redwood National and State Parks', 'Prairie Creek Redwoods State Park': 'Redwood National and State Parks', 'San Francisco and other places on the West Coast': 'Redwood National and State Parks', 'Santa Cruz Mountains and the Marin Hills': 'Redwood Regional Park', 'Napa, Lake, Mendocino, Humboldt and Del Norte counties': 'Redwood Empire', 'Santa Cruz County': 'Redwood Grove', 'Sierra Nevada Mountains': 'Redwood Mountain Grove'}",100.0,Henry Cowell Redwoods State Park,Redwood Grove,100.0,Henry Cowell Redwoods State Park,Redwood Grove,100.0,Prairie Creek Redwoods State Park,Redwood National and State Parks,0.0
734,who was the first chief minister of west bengal,"['Prafulla Chandra Ghosh', 'Prafulla Chandra Ghosh of the Indian National Congress']",List of Chief Ministers of West Bengal,"Prafulla Chandra Sen, Gopalkrishna Gandhi, Bhairab Dutt Pande, Jyoti Basu, Dr. Prafulla Chandra Ghosh, Jyoti Basu, Visva Bharati, Siraj Ud Daulah, Basu, Jyoti Basu","{'Prafulla Chandra Sen': 'Prafulla Chandra Sen', 'Gopalkrishna Gandhi': 'Gopalkrishna Gandhi', 'Bhairab Dutt Pande': 'Bhairab Dutt Pande', 'Jyoti Basu': 'Jyoti Basu', 'Dr. Prafulla Chandra Ghosh': 'Prafulla Chandra Ghosh', 'Visva Bharati': 'Governor of West Bengal', 'Siraj Ud Daulah': 'History of Kolkata', 'Basu': 'Jyoti Basu'}",100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,100.0,Prafulla Chandra Ghosh,List of Chief Ministers of West Bengal,0.0
735,when was the first hunger games book published,"['2008', 'September 14 , 2008']",The Hunger Games (novel),"1981, 1979, 1890, 1883, between 1984 and 1998, 1964, 1971, 1968, 1980, 1973","{'1981': 'The Hunger (novel)', '1979': 'The House of Hunger', '1890': 'Hunger (novel)', '1883': 'The Story of an African Farm', 'between 1984 and 1998': 'Lone Wolf (gamebooks)', '1964': 'Wilbur Smith', '1971': 'The Wild Boys (novel)', '1968': 'Setting Free the Bears', '1980': 'Waiting for the Barbarians', '1973': 'Demon Seed (novel)'}",100.0,1890,Hunger (2001 film),100.0,1890,Hunger (2001 film),0.0,1978,The House of Hunger,100.0
736,how much is the united states in debt to china,"['1,200.5', '$1.06 trillion']",National debt of the United States,"seven trillion dollars, 249 percent of GDP in 2075, soared, It is currently the highest since 1955, $59.1 trillion, $350 billion, World War II, $1.4 billion, United Kingdom, $230 billion in 2004 (Bunton). Some of the factors that influence the U.S. trade deficit","{'seven trillion dollars': 'History of the U.S. public debt', '249 percent of GDP in 2075': 'United States public debt', 'soared': 'United States public debt', 'It is currently the highest since 1955': 'National debt by U.S. presidential terms', '$59.1 trillion': 'United States public debt', '$350 billion': 'Sino-American relations', 'World War II': 'Sino-American relations', '$1.4 billion': ""Developing countries' debt"", 'United Kingdom': 'Plaza Accord', '$230 billion in 2004 (Bunton). Some of the factors that influence the U.S. trade deficit': 'Sino-American relations'}",50.0,$145.8 trillion,Financial position of the United States,100.0,$145.8 trillion,Financial position of the United States,100.0,$145.8 trillion,Financial position of the United States,50.0
737,when was the last time nebraska voted democrat,['1964'],United States presidential elections in Nebraska,"2006, 1974 and 2006, November 7, 2006, 1962, 1966, 1976, 2005, 2004, 2004, the Governor has the power to veto any bill","{'2006': 'Nebraska Democratic Party', '1974 and 2006': ""Nebraska's 3rd congressional district"", 'November 7, 2006': 'Dave Heineman', '1962': 'Governor of Nebraska', '1966': 'Governor of Nebraska', '1976': 'Bill Barrett', '2005': 'Electoral reform in Nebraska', '2004': ""Nebraska's 1st congressional district"", 'the Governor has the power to veto any bill': 'Nebraska Legislature'}",100.0,1974 and 2006,Nebraska's 3rd congressional district,100.0,1974 and 2006,Nebraska's 3rd congressional district,100.0,1974 and 2006,Nebraska's 3rd congressional district,0.0
738,who is doing 2018 super bowl half time show,['Justin Timberlake'],Super Bowl LII halftime show,"Rece Davis, Keith Olbermann, Towers Productions, O'Brien, Michaels, David Letterman, O'Brien, Tom Hanks, Spike Feresten, Olbermann","{'Rece Davis': 'Super Tuesday (TV series)', 'Keith Olbermann': 'Football Night in America', 'Towers Productions': 'Sports Action Team', ""O'Brien"": ""Late Night with Conan O'Brien"", 'Michaels': 'Football Night in America', 'David Letterman': ""Late Night with Conan O'Brien"", 'Tom Hanks': 'Earth to America (TV special)', 'Spike Feresten': 'Talkshow with Spike Feresten', 'Olbermann': 'Football Night in America'}",100.0,Olbermann,Football Night in America,100.0,Rece Davis,Super Tuesday (TV series),0.0,Missy Elliott,Super Bowl XLIX halftime show,100.0
739,who is playing the halftime show for the superbowl,['Justin Timberlake'],Super Bowl LII halftime show,"U2, Beyoncé, U2, Bill Weber, Tom Petty and The Heartbreakers, Viacom's MTV and CBS Sports, Elton John, Viacom, James Brown, Janet Jackson, P. Diddy, Kid Rock and Nelly","{'U2': 'Super Bowl XXXVI', 'Beyoncé': 'Super Bowl XXXVIII halftime show controversy', 'Bill Weber': 'Super Bowl XXXVIII halftime show controversy', 'Tom Petty and The Heartbreakers': 'Super Bowl halftime shows', ""Viacom's MTV and CBS Sports"": 'Super Bowl XXXVIII', 'Elton John': 'Philadelphia Freedom Concert', 'Viacom': 'Super Bowl XXXVIII halftime show controversy', 'James Brown': 'Super Bowl XXXVI', 'Janet Jackson, P. Diddy, Kid Rock and Nelly': 'AOL TopSpeed Super Bowl XXXVIII Halftime Show'}",100.0,Beyoncé,Super Bowl XLVII halftime show,100.0,Beyoncé,Super Bowl XLVII halftime show,100.0,Beyoncé,Super Bowl XLVII halftime show,0.0
740,who scored the most points in a single game in the nba,['Wilt Chamberlain'],List of National Basketball Association single-game scoring leaders,"1,400, Wilt Chamberlain, George Mikan, Pete Maravich, Chamberlain, Maxwell, Michael Jordan 5 times (once in playoffs), Elgin Baylor 4 times (once in playoffs), and Kobe Bryant, Chamberlain, Reggie Miller, Bob Cousy","{'1,400': 'List of National Basketball Association top individual scoring season averages', 'Wilt Chamberlain': 'List of career achievements by Wilt Chamberlain', 'George Mikan': 'George Yardley', 'Pete Maravich': 'Vernon Maxwell', 'Chamberlain': 'List of career achievements by Wilt Chamberlain', 'Maxwell': 'Vernon Maxwell', 'Michael Jordan 5 times (once in playoffs), Elgin Baylor 4 times (once in playoffs), and Kobe Bryant': 'List of National Basketball Association players with 60 or more points in a game', 'Reggie Miller': 'Vernon Maxwell', 'Bob Cousy': 'Quadruple-double'}",100.0,Wilt Chamberlain,Double (basketball),100.0,Wilt Chamberlain,List of National Basketball Association annual scoring leaders,100.0,Wilt Chamberlain,Double (basketball),0.0
741,who played the mad hatter in the batman tv show,['David Wayne'],List of Batman television series cast members,"Henry Rollins, Olan Soule, Henry Rollins, Adam West, William Dozier, Liberace, Ty Hardin, Adam West, Adam West, Kevin Conroy","{'Henry Rollins': 'Mad Stan', 'Olan Soule': 'The Adventures of Batman', 'Adam West': 'Batman (TV series)', 'William Dozier': 'William Dozier', 'Liberace': 'Batman (TV series)', 'Ty Hardin': 'Batman (TV series)', 'Kevin Conroy': 'Kevin Conroy'}",100.0,Adam West,Stafford Repp,100.0,Adam West,Batman (TV series),100.0,Adam West,Burt Ward,0.0
742,who scored the most points in their nba career,['Kareem Abdul - Jabbar'],List of National Basketball Association career scoring leaders,"Wilt Chamberlain, 1,400, George Mikan, Kobe Bryant, Chamberlain, Darrall Imhoff, National Basketball Association players, Yardley, 2000, Bob Cousy","{'Wilt Chamberlain': 'List of career achievements by Wilt Chamberlain', '1,400': 'List of National Basketball Association top individual scoring season averages', 'George Mikan': 'George Yardley', 'Kobe Bryant': 'List of National Basketball Association players with 60 or more points in a game', 'Chamberlain': 'List of career achievements by Wilt Chamberlain', 'Darrall Imhoff': 'List of career achievements by Wilt Chamberlain', 'National Basketball Association players': 'List of National Basketball Association career scoring leaders', 'Yardley': 'George Yardley', '2000': 'George Yardley', 'Bob Cousy': 'Quadruple-double'}",100.0,Kobe Bryant,List of National Basketball Association franchise career scoring leaders,100.0,Kobe Bryant,List of National Basketball Association franchise career scoring leaders,100.0,Kobe Bryant,List of National Basketball Association franchise career scoring leaders,0.0
743,who plays charles on have and have nots,"['Nick Sagar', 'Nick Sager']",The Haves and the Have Nots (TV series),"Aaron Spelling, Linda Evans, Jamie Foxx, John Forsythe, Joshua Aaron Charles, Charles Edwin Powell, Bing Crosby, Anton Yelchin, Charlie Sheen, Mohr","{'Aaron Spelling': 'John Forsythe', 'Linda Evans': 'John Forsythe', 'Jamie Foxx': 'Jamie Foxx', 'John Forsythe': 'John Forsythe', 'Joshua Aaron Charles': 'Josh Charles', 'Charles Edwin Powell': 'Charles Powell (actor)', 'Bing Crosby': 'Jamie Foxx', 'Anton Yelchin': 'Charlie Bartlett', 'Charlie Sheen': 'Jon Cryer', 'Mohr': 'Jay Mohr'}",0.0,Paul Marion,Paul Marion (actor),100.0,Charlie Sheen,Bill Hader,100.0,Paul Marion,Paul Marion (actor),100.0
744,where does the water come from to fill lake eyre,['Warburton River'],Lake Eyre,"Local rain, Warburton Creek, Yan Yean Reservoir, Frenchmans Creek, Plenty River, Clarendon Weir, river systems of semi-arid inland Queensland, Goulburn Weir and the Waranga Basin, Lake Tanganyika, the Mississippi","{'Local rain': 'Lake Eyre', 'Warburton Creek': 'Lake Eyre Basin', 'Yan Yean Reservoir': 'Plenty River', 'Frenchmans Creek': 'Lake Victoria (New South Wales)', 'Plenty River': 'Yan Yean Reservoir', 'Clarendon Weir': 'Happy Valley Reservoir', 'river systems of semi-arid inland Queensland': 'Lake Eyre Basin', 'Goulburn Weir and the Waranga Basin': 'Lake Eildon', 'Lake Tanganyika': 'Lake Kariba', 'the Mississippi': 'Lake Eyre Basin'}",100.0,Warburton River,Lake Eyre,100.0,Warburton River,Lake Eyre,100.0,Warburton River,Lake Eyre,0.0
745,when was the design period known as art deco,['1910 -- 1939'],Art Deco,"1920 until 1939, 1925, 1930s, 1892 to 1902, modernist, 1940s, 1885–1920, Baroque, between the early 15th and early 17th centuries, 20th century","{'1920 until 1939': 'Art Deco', '1925': 'Expressionist architecture', '1930s': 'Art Deco', '1892 to 1902': 'Art Nouveau', 'modernist': 'Exposition Internationale des Arts Décoratifs et Industriels Modernes', '1940s': 'Art Deco', '1885–1920': 'Beaux-Arts architecture', 'Baroque': 'Beaux-Arts architecture', 'between the early 15th and early 17th centuries': 'Renaissance architecture', '20th century': 'Renaissance architecture'}",100.0,1925,Art Deco,100.0,1925,Art Deco,100.0,1925,Art Deco,0.0
746,who has the most gold medals in the winter olympics of all time,['Norway'],All-time Olympic Games medal table,"Mikio Oda, Mark Andrew Spitz, 9, United States, Thiago Pereira, Henning Lynge Jakobsen, Charles Jewtraw, Hubert Raudaschl, Mark Spitz, 12","{'Mikio Oda': 'Kinue Hitomi', 'Mark Andrew Spitz': 'Mark Spitz', '9': 'Bjørn Dæhlie', 'United States': 'Russia at the Olympics', 'Thiago Pereira': 'Mark Spitz', 'Henning Lynge Jakobsen': 'Henning Lynge Jakobsen', 'Charles Jewtraw': 'Charles Jewtraw', 'Hubert Raudaschl': 'Hubert Raudaschl', 'Mark Spitz': 'Mark Spitz', '12': 'Bjørn Dæhlie'}",28.57142857142857,"China, Great Britain and the United States",World and Olympic records set at the 2012 Summer Olympics,100.0,"China, Great Britain and the United States",World and Olympic records set at the 2012 Summer Olympics,6.060606060606061,"four gold), nine World Championship medals (five gold), and 22 Finnish Championship medals (13 gold). Most notably, he won three gold medals at the 1988 Winter Olympics, becoming, along with Yvonne van Gennip",Matti Nykänen,93.93939393939394
747,what order do the captain america movies go in,['Captain America : The First Avenger'],List of Marvel Cinematic Universe films,"alphabetical order, Fifteen, 2008, straight to video, first two films, back-to-back, instalments three and four, big explosions and modern technology, back-to-back, four or five years down","{'alphabetical order': 'List of American films', 'Fifteen': 'Chronicles of America', '2008': 'X-Men film series', 'straight to video': 'Captain America (1991 film)', 'first two films': 'Harry Potter film series', 'back-to-back': 'List of films produced back-to-back', 'instalments three and four': 'Harry Potter film series', 'big explosions and modern technology': 'Action film', 'four or five years down': 'X-Men film series'}",100.0,back-to-back,Pirates of the Caribbean (film series),25.0,"1972, 1974 and 1990",The Godfather (film series),100.0,alphabetical order,Lists of American films,75.0
748,when was i don't like mondays released,"['21 July 1979', '1979']",I Don't Like Mondays,"July 1979, 2007, 1982, 2006, 1985 release by the punk band Descendents. It was released on New Alliance Records in 1985, 1999-2000, 1971, 2000, 1976, 1980s","{'July 1979': ""I Don't Like Mondays"", '2007': ""I Don't Feel Like Dancin'"", '1982': ""I Don't Wanna Dance (Eddy Grant song)"", '2006': ""I Don't Feel Like Dancin'"", '1985 release by the punk band Descendents. It was released on New Alliance Records in 1985': ""I Don't Want to Grow Up"", '1999-2000': 'Happy Mondays', '1971': 'Rainy Days and Mondays', '2000': 'Happy Mondays', '1976': ""I Don't Feel Like Dancin'"", '1980s': ""I Don't Like Mondays""}",100.0,1979,I Don't Like Mondays,100.0,1979,I Don't Like Mondays,100.0,1979,I Don't Like Mondays,0.0
749,when did the song here comes the boom come out,"['May 2002', 'May 14 , 2002']",Boom (P.O.D. song),"February 2007, 1953, June of 1981, 1959, 1947, June 1981, 1990, 1990 (see 1990 in music) on Mercury Records. The title refers to the sound that Cash's backing bank, the Tennessee Three were said to produce. It includes a cover of Harry Chapin's ""Cat's in the Cradle"", and a song written by Elvis Costello for Cash, ""Hidden Shame."" ""Don't Go Near the Water"" had previously been recorded for ""Ragged Old Flag"", and discusses the issue of pollution of the environment. In 2003, 1993, The final caveman beats on his chest to produce a ""boom"", and hits other parts of his body for other sounds. The owl escorts us through history and explains how a variety of instruments emerged from this basic theory, ranging from rattles to complex drum kits and even the bass drums of marching bands.
Conclusion.
The chorus recaps that all music, from the banjo to Latin percussion to ""music oriental"" to a grand symphony, emerges from the four nuclear sounds.
Re-releases and educational use.
""Toot, Whistle, Plunk and Boom"" was reissued in 1963","{'February 2007': 'Boom, Like That', '1953': 'Chicka Boom', 'June of 1981': 'The Boom (American band)', '1959': 'Boom Boom Baby (song)', '1947': 'Clancy Lowered the Boom', 'June 1981': 'The Boom (American band)', '1990': 'Boomania', '1990 (see 1990 in music) on Mercury Records. The title refers to the sound that Cash\'s backing bank, the Tennessee Three were said to produce. It includes a cover of Harry Chapin\'s ""Cat\'s in the Cradle"", and a song written by Elvis Costello for Cash, ""Hidden Shame."" ""Don\'t Go Near the Water"" had previously been recorded for ""Ragged Old Flag"", and discusses the issue of pollution of the environment. In 2003': 'Boom Chicka Boom', '1993': 'The Boom', 'The final caveman beats on his chest to produce a ""boom"", and hits other parts of his body for other sounds. The owl escorts us through history and explains how a variety of instruments emerged from this basic theory, ranging from rattles to complex drum kits and even the bass drums of marching bands.\nConclusion.\nThe chorus recaps that all music, from the banjo to Latin percussion to ""music oriental"" to a grand symphony, emerges from the four nuclear sounds.\nRe-releases and educational use.\n""Toot, Whistle, Plunk and Boom"" was reissued in 1963': 'Toot, Whistle, Plunk and Boom'}",0.0,1986,Welcome to the Boomtown,100.0,1986,Welcome to the Boomtown,100.0,1986,Welcome to the Boomtown,100.0
750,who wrote most of the declaration of independance,['Thomas Jefferson'],United States Declaration of Independence,"John Hart, Roger Sherman, Robert Treat Paine, John Trumbull, Committee of Five, Sherman, James Madison, Alexander Hamilton, and John Jay, Frederick Douglass, George Washington, Thomas Jefferson and Colonel John Dickinson","{'John Hart': 'John Hart (disambiguation)', 'Roger Sherman': 'Roger Sherman', 'Robert Treat Paine': 'Robert Treat Paine (disambiguation)', 'John Trumbull': ""Trumbull's Declaration of Independence"", 'Committee of Five': 'Roger Sherman', 'Sherman': 'Roger Sherman', 'James Madison, Alexander Hamilton, and John Jay': 'List of Federalist Papers', 'Frederick Douglass': 'My Bondage and My Freedom', 'George Washington': 'List of signatories of the United States Constitution', 'Thomas Jefferson and Colonel John Dickinson': 'Declaration of the Causes and Necessity of Taking Up Arms'}",100.0,Thomas Jefferson,Physical history of the United States Declaration of Independence,100.0,Thomas Jefferson,Physical history of the United States Declaration of Independence,100.0,Thomas Jefferson,Physical history of the United States Declaration of Independence,0.0
751,what was the first capital city of australia,"['Sydney', 'New South Wales', 'Melbourne']",List of Australian capital cities,"Canberra, Melbourne, Sydney, Melbourne, Hobart, Hobart Town, Brisbane, Melbourne, Melbourne, Canberra","{'Canberra': 'Australian Capital Territory', 'Melbourne': 'Australian Capital Territory', 'Sydney': 'Sydney', 'Hobart': 'Hobart', 'Hobart Town': 'Hobart', 'Brisbane': 'Brisbane'}",100.0,Canberra,History of the Australian Capital Territory,100.0,Melbourne,Foundation of Melbourne,100.0,Melbourne,History of Canberra,0.0
752,how many episodes of ray donovan series 3 are there,"['12', '60']",List of Ray Donovan episodes,"twenty-three, 52, one hour, 12, #10, 24, sixteenth, September 28, 2003, 22, three weeks","{'twenty-three': 'Desperate Housewives Season 3', '52': 'List of Prison Break episodes', 'one hour': '24 (season 3)', '12': 'List of CyberChase episodes', '#10': 'Desperate Housewives Season 3', '24': 'List of Carnivàle episodes', 'sixteenth': 'Desperate Housewives Season 3', 'September 28, 2003': 'Alias episodes (season 3)', '22': 'List of Prison Break episodes', 'three weeks': 'List of Prison Break episodes'}",100.0,12,The Killing (season 3),100.0,12,The Killing (season 3),100.0,12,The Killing (season 3),0.0
753,what is the meaning of the name mandy,['Lovable'],Mandy (name),"a surname, People with the given name Mandy, females, alcoholism, Andy, a nickname, female) that must be loved, Millicent Margaret Amanda, but she received the nickname because her full name was considered too long, ballad, Brianna","{'a surname': 'Melafe', 'People with the given name Mandy': 'Mandy', 'females': 'Amanda', 'alcoholism': 'Mandy (song)', 'Andy': 'Mandy (song)', 'a nickname': 'Mandy (given name)', 'female) that must be loved': 'Amanda (female name)', 'Millicent Margaret Amanda, but she received the nickname because her full name was considered too long': 'Milly-Molly-Mandy', 'ballad': 'Mandy (song)', 'Brianna': 'Bree'}",100.0,"Millicent Margaret Amanda, but she received the nickname because her full name was considered too long",Milly-Molly-Mandy,100.0,"Millicent Margaret Amanda, but she received the nickname because her full name was considered too long",Milly-Molly-Mandy,100.0,surname,Mandylor,0.0
754,who won the battle of stirling bridge 1297,"['Andrew Moray', 'the forces of Andrew Moray and William Wallace', 'Scottish victory']",Battle of Stirling Bridge,"King Edward I, Andrew de Moray and William Wallace, Captain George Munro, Murray, The Marquis of Argyll, Wallace, The Scots spearmen, Bruce, the Scots, William Wallace's Scots army","{'King Edward I': 'Battle of Falkirk (1298)', 'Andrew de Moray and William Wallace': 'Battle of Stirling Bridge', 'Captain George Munro': 'Battle of Dunkeld', 'Murray': 'Battle of Falkirk (1746)', 'The Marquis of Argyll': 'Battle of Stirling (1648)', 'Wallace': 'Battle of Stirling Bridge', 'The Scots spearmen': 'Battle of Stirling Bridge', 'Bruce': 'Battle of Bannockburn', 'the Scots': 'Battle of Falkirk (1298)', ""William Wallace's Scots army"": 'Sieges of Stirling Castle'}",100.0,Andrew de Moray and William Wallace,Battle of Stirling Bridge,100.0,Andrew Moray and William Wallace,Battle of Stirling Bridge,100.0,Andrew Moray and William Wallace,Battle of Stirling Bridge,0.0
755,how many players have scored 10000 runs in odi,"['11', 'eleven']","List of players who have scored 10,000 or more runs in One Day International cricket","296, 252, 10, two, 27, two, eight, top five, Brian Lara of the West Indies and Donald Bradman, Batsmen often slow down and take fewer risks as they approach their century","{'296': 'List of Major League Baseball players with 1000 runs', '252': 'List of Major League Baseball players with 1000 RBI', '10': '3000-300 club', 'two': '3000 hit club', '27': '3000 hit club', 'eight': 'List of first-class cricket quadruple centuries', 'top five': 'List of One Day International cricket records', 'Brian Lara of the West Indies and Donald Bradman': 'List of Test cricket triple centuries', 'Batsmen often slow down and take fewer risks as they approach their century': 'Century (cricket)'}",100.0,five,List of batsmen who have scored over 10000 Test cricket runs,23.076923076923077,"Kumar Sangakkara took the least number of innings (195) to reach 10,000 runs and shares the record with West Indies' Brian Lara and India's Sachin Tendulkar","List of players who have scored 10,000 or more runs in Test cricket",100.0,eight,List of first-class cricket quadruple centuries,76.92307692307692
756,who is the present rajya sabha speaker of india,['Venkaiah Naidu'],Rajya Sabha,"Sumitra Singh, J. Jayalalitha, Dr B R Ambedkar, Hamid Ansari, Vajpayee, L.K. Advani, Pratibha Patil, Hon W. J. M. Lokubandara, Ramkrishnan Suryabhan Gavai, Shri Devisingh Ramsingh Shekhawat is the husband of the present President of India H.E. Smt.Pratibha Patil","{'Sumitra Singh': 'Pratibha Patil', 'J. Jayalalitha': 'Atal Bihari Vajpayee', 'Dr B R Ambedkar': 'Pratibha Patil', 'Hamid Ansari': 'Rajya Sabha', 'Vajpayee': 'Atal Bihari Vajpayee', 'L.K. Advani': 'Atal Bihari Vajpayee', 'Pratibha Patil': 'Pratibha Patil', 'Hon W. J. M. Lokubandara': 'Speaker of the Parliament of Sri Lanka', 'Ramkrishnan Suryabhan Gavai': 'Ramkrishnan Suryabhan Gavai', 'Shri Devisingh Ramsingh Shekhawat is the husband of the present President of India H.E. Smt.Pratibha Patil': 'Devisingh Ramsingh Shekhawat'}",50.0,Sumitra Mahajan,Speaker of the Lok Sabha,100.0,Sumitra Mahajan,Sumitra Mahajan,100.0,Sumitra Mahajan,Speaker of the Lok Sabha,50.0
757,who has the most catches in nfl history,['Jerry Rice'],List of National Football League career receptions leaders,"Mark Clayton, ten pairs of players, Bill Stromberg, Jessie Lee Hester, Nat Moore, Patrick Jeffers, Paul Skansi, 4, Oronde Benjamin Gadsden, Tiki Barber","{'Mark Clayton': 'Nat Moore', 'ten pairs of players': 'Longest pass caught in the NFL', 'Bill Stromberg': 'Bill Stromberg', 'Jessie Lee Hester': 'Jessie Hester', 'Nat Moore': 'Nat Moore', 'Patrick Jeffers': 'Patrick Jeffers', 'Paul Skansi': 'Paul Skansi', '4': 'List of National Football League players with 1,000 career receptions', 'Oronde Benjamin Gadsden': 'Oronde Gadsden', 'Tiki Barber': 'Gene Roberts (football player)'}",33.33333333333333,Jerry Lee Rice,Jerry Rice,100.0,Jerry Lee Rice,Jerry Rice,100.0,Jerry Rice,Tony Gonzalez,66.66666666666667
758,when was the last time mount ruapehu erupted,"['25 September 2007', 'At about 8 : 20 p.m. on 25 September 2007']",Mount Ruapehu,"1975, March 31, 2000, 1886, 1655, 240,000 years ago, 26,500 Before Present in Late Pleistocene, 1945, 1980, 186 AD, November 1995","{'1975': 'Mount Ngauruhoe', 'March 31, 2000': 'Mount Usu', '1886': 'Mount Tarawera', '1655': 'Mount Taranaki/Egmont', '240,000 years ago': 'Rotorua Caldera', '26,500 Before Present in Late Pleistocene': 'Oruanui eruption', '1945': 'Mount Ruapehu', '1980': 'Mount Tarawera', '186 AD': 'Hatepe eruption', 'November 1995': 'Mount Ruapehu'}",100.0,1886,Mount Tarawera,100.0,"26,500 years ago",Oruanui eruption,100.0,1945,Mount Ruapehu,0.0
759,where is the 7th game of the world series played,"['generally played at the site of the team holding the home advantage across the series', 'Dodger Stadium , Los Angeles', 'the site of the team holding the home advantage across the series', 'at the site of the team holding the home advantage across the series']",Game seven,"Veterans Stadium, Milwaukee County Stadium, Yankee Stadium, Yankee Stadium, Yankee Stadium, Dodger Stadium, Dodger Stadium, Veterans Stadium, Dodger Stadium, Yankee Stadium","{'Veterans Stadium': '1977 National League Championship Series', 'Milwaukee County Stadium': '1957 World Series', 'Yankee Stadium': '1978 American League Championship Series', 'Dodger Stadium': '1977 World Series'}",100.0,Yankee Stadium,2009 World Series,100.0,Dodger Stadium,1977 World Series,100.0,Dodger Stadium,2017 World Series,0.0
760,what is an example of a tricyclic antidepressant,['Amineptine'],Tricyclic antidepressant,"Protriptyline, diphenhydramine, tertiary amines amitriptyline and imipramine, selective serotonin reuptake inhibitors, Trifluoroperazine, Fluoxetine hydrochloride, Prozac, Tridihexethyl chloride, Trihexyphenidyl, Dichloralphenazone","{'Protriptyline': 'Protriptyline', 'diphenhydramine': 'Trihexyphenidyl', 'tertiary amines amitriptyline and imipramine': 'Heterocyclic antidepressant', 'selective serotonin reuptake inhibitors': 'Fluoxetine', 'Trifluoroperazine': 'Trifluoroperazine', 'Fluoxetine hydrochloride': 'Fluoxetine', 'Prozac': 'Fluoxetine', 'Tridihexethyl chloride': 'Tridihexethyl', 'Trihexyphenidyl': 'Trihexyphenidyl', 'Dichloralphenazone': 'Dichloralphenazone'}",100.0,amitriptyline,Perphenazine,100.0,amitriptyline,Perphenazine,100.0,amitriptyline,Perphenazine,0.0
